Boost,1.80.0,Boost Software License,https://www.boost.org/LICENSE_1_0.txt
cpp_base64,2.rc.09,zlib License,https://github.com/ReneNyffenegger/cpp-base64/blob/master/LICENSE
eCAL,5.12.1,Apache 2.0,https://github.com/eclipse-ecal/ecal/blob/support/v5.12/LICENSE.txt
Flatbuffers,2.0.6,Apache 2.0,https://github.com/google/flatbuffers/blob/master/LICENSE.txt
Google Test,1.12.1,BSD 3,https://github.com/google/googletest/blob/main/LICENSE
JsonCpp,1.9.5,MIT,https://github-am.geo.conti.de/Upstream-Mirror/jsoncpp/blob/1.9.5/LICENSE
Magno MTS Core Libraries,0.9.10,Continental-Proprietary,https://github-am.geo.conti.de/ADAS/mts-core-lib/blob/develop/LICENSE.txt
Magno MTS Sentinel Toolbox,0.2.2,Continental-Proprietary,tbd
OpenCV,4.5.0,Apache 2.0,https://github.com/opencv/opencv/blob/master/LICENSE
Protobuf,3.11.4,BSD 3,https://github.com/protocolbuffers/protobuf/blob/v3.11.4/LICENSE
SPDlog,1.6.0,MIT,https://github.com/gabime/spdlog/blob/v1.6.0/LICENSE
Tracy,0.9,BSD 3,https://github.com/wolfpld/tracy/blob/master/LICENSE
